22:09:04 1336.0 ppm (-93), brightness: 0.153, window is open -> close window
22:52:44 3405.0 ppm (+1405), brightness: 0.190, window is closed -> open window
22:59:14 1315.0 ppm (-83), brightness: 0.148, window is open -> close window
04:12:53 2474.0 ppm (+1000), brightness: 0.148, window is closed -> open window
04:42:25 1343.0 ppm (-12), brightness: 0.148, window is open -> close window
20:00:09 1311.0 ppm (+10), brightness: 0.861, window is closed -> open window
20:00:09 1311.0 ppm (+10), brightness: 0.861, window is closed -> close window
20:01:39 1299.0 ppm (-18), brightness: 0.865, window is closed -> open window
20:01:39 1299.0 ppm (-18), brightness: 0.865, window is closed -> close window
03:05:29 3174.0 ppm (+1428), brightness: 0.148, window is closed -> open window
03:45:01 1345.0 ppm (-24), brightness: 0.148, window is open -> close window
05:58:37 1722.0 ppm (+88), brightness: 0.148, window is closed -> open window
06:00:07 1777.0 ppm (+55), brightness: 0.154, window is open -> close window
20:00:14 1219.0 ppm (-29), brightness: 0.859, window is closed -> open window
20:00:14 1219.0 ppm (-29), brightness: 0.859, window is closed -> close window
20:01:15 1210.0 ppm (-9), brightness: 0.862, window is closed -> open window
20:01:15 1210.0 ppm (-9), brightness: 0.862, window is closed -> close window
20:02:45 1215.0 ppm (-4), brightness: 0.867, window is closed -> open window
20:02:45 1215.0 ppm (-4), brightness: 0.867, window is closed -> close window
23:41:25 2006.0 ppm (+46), brightness: 0.148, window is closed -> open window
00:05:26 1346.0 ppm (-26), brightness: 0.148, window is open -> close window
20:00:10 1567.0 ppm (+7), brightness: 0.205, window is closed -> open window
20:11:40 1350.0 ppm (-29), brightness: 0.188, window is open -> close window
00:15:52 2049.0 ppm (+95), brightness: 0.148, window is closed -> open window
00:51:24 1338.0 ppm (-37), brightness: 0.148, window is open -> close window
01:57:27 2006.0 ppm (+22), brightness: 0.148, window is closed -> open window
02:24:58 1344.0 ppm (-20), brightness: 0.148, window is open -> close window
03:21:31 2021.0 ppm (+55), brightness: 0.148, window is closed -> open window
03:40:32 1350.0 ppm (-18), brightness: 0.148, window is open -> close window
04:47:05 2009.0 ppm (+13), brightness: 0.148, window is closed -> open window
04:57:06 1346.0 ppm (-43), brightness: 0.148, window is open -> close window
12:59:59 2078.0 ppm (+23), brightness: 0.148, window is closed -> open window
13:34:31 1348.0 ppm (-37), brightness: 0.842, window is open -> close window
17:03:11 2000.0 ppm (+53), brightness: 0.838, window is closed -> open window
17:24:42 1345.0 ppm (-18), brightness: 0.849, window is open -> close window
19:59:49 1639.0 ppm (+4), brightness: 0.416, window is closed -> open window
20:08:49 1342.0 ppm (-35), brightness: 0.294, window is open -> close window
22:48:27 2004.0 ppm (+43), brightness: 0.148, window is closed -> open window
02:34:38 1347.0 ppm (-23), brightness: 0.148, window is open -> close window
05:07:45 1712.0 ppm (+21), brightness: 0.148, window is closed -> open window
05:59:47 1386.0 ppm (+0), brightness: 0.148, window is open -> close window
20:00:28 1479.0 ppm (-5), brightness: 0.384, window is closed -> open window
20:11:58 1338.0 ppm (-26), brightness: 0.212, window is open -> close window
22:51:06 2004.0 ppm (+70), brightness: 0.148, window is closed -> open window
00:38:11 1350.0 ppm (-16), brightness: 0.148, window is open -> close window
02:08:45 2003.0 ppm (+68), brightness: 0.148, window is closed -> open window
03:13:48 1339.0 ppm (-43), brightness: 0.148, window is open -> close window
04:59:53 1916.0 ppm (-37), brightness: 0.148, window is closed -> open window
05:19:54 1348.0 ppm (-16), brightness: 0.148, window is open -> close window
05:35:55 1710.0 ppm (+34), brightness: 0.148, window is closed -> open window
05:59:56 1376.0 ppm (-8), brightness: 0.148, window is open -> close window
18:13:00 2009.0 ppm (+28), brightness: 0.148, window is closed -> open window
20:30:07 1617.0 ppm (-11), brightness: 0.148, window is open -> close window
21:45:40 2019.0 ppm (+52), brightness: 0.148, window is closed -> open window
00:45:19 1346.0 ppm (-23), brightness: 0.148, window is open -> close window
02:13:53 2003.0 ppm (+35), brightness: 0.148, window is closed -> open window
02:46:54 1350.0 ppm (-19), brightness: 0.148, window is open -> close window
04:59:31 1863.0 ppm (-27), brightness: 0.148, window is closed -> open window
05:27:32 1350.0 ppm (-10), brightness: 0.148, window is open -> close window
05:36:32 1715.0 ppm (+23), brightness: 0.148, window is closed -> open window
06:00:03 1598.0 ppm (-22), brightness: 0.148, window is open -> close window
20:00:13 1394.0 ppm (+4), brightness: 0.200, window is closed -> open window
20:30:14 1412.0 ppm (+7), brightness: 0.149, window is open -> close window
01:17:28 2018.0 ppm (+55), brightness: 0.148, window is closed -> open window
02:36:32 1346.0 ppm (-8), brightness: 0.148, window is open -> close window
21:24:20 2216.0 ppm (+216), brightness: 0.148, window is closed -> open window
21:47:51 1344.0 ppm (-27), brightness: 0.148, window is open -> close window
21:55:22 2007.0 ppm (+68), brightness: 0.148, window is closed -> open window
22:23:23 1338.0 ppm (-43), brightness: 0.148, window is open -> close window
23:07:55 1593.0 ppm (-407), brightness: 0.148, window is closed, command restart
